,Ti,Fe,Zr,Nb,Sn,Ta,Mo,Al,V,Cr,Cu,Hf,Mn,W,Ni,Sc,Si
0,0.7791,0.0234,0.0617,0.1358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.7575000000000001,0.015600000000000001,0.06370000000000002,0.16320000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.7298729872987298,0.0138013801380138,0.0664066406640664,0.18991899189918993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.8622862286228622,0.0349034903490349,0.041004100410041,0.061806180618061805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.8376,0.0256,0.0,0.11,0.0268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.7974,0.027,0.0619,0.1137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.8085,0.011,0.0,0.1805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.8254,0.0162,0.0,0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.8458,0.0217,0.0,0.1325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.8707,0.0254,0.0,0.1039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.8895,0.028,0.0,0.0825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.9063,0.0335,0.0,0.0602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.8184,0.0,0.0,0.1816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.8063,0.0111,0.0,0.1826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.7912,0.0292,0.0,0.1796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.7718228177182282,0.051394860513948606,0.0,0.17678232176782324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.889,0.0414,0.0,0.0696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.9464,0.0328,0.0,0.0,0.0,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.9382,0.0343,0.0,0.0,0.0,0.0275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.8984,0.0,0.0,0.0,0.0292,0.0,0.0724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.9535,0.0,0.0,0.0,0.0,0.0,0.0465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.9436,0.0,0.0,0.0,0.0077,0.0,0.0487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.9241,0.0,0.0,0.0,0.0286,0.0,0.0473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.5723572357235723,0.0,0.18311831183118313,0.2445244524452445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.540954095409541,0.0,0.23902390239023902,0.22002200220022003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.5258474152584742,0.0,0.26687331266873315,0.20727927207279273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.5026497350264973,0.0,0.31116888311168883,0.18618138186181382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.8416,0.0,0.0792,0.0792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.7236,0.0057,0.0868,0.1839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.8141185881411859,0.009999000099990002,0.11598840115988401,0.05989401059894011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.7448744874487448,0.014701470147014698,0.04000400040004,0.20042004200420038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.7924,0.0,0.0,0.1979,0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.5501,0.0,0.2009,0.0726,0.0,0.1764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.5448,0.0,0.2298,0.0451,0.0,0.1803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.5316,0.0,0.2604,0.0228,0.0,0.1852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.936006399360064,0.03979602039796021,0.0,0.0,0.0,0.0,0.0241975802419758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.6951,0.0,0.0811,0.1724,0.0,0.0,0.0514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.7872787278727873,0.0,0.0,0.18721872187218722,0.0195019501950195,0.0,0.006000600060006001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.7197,0.0,0.0325,0.2014,0.0,0.0464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.7638,0.0,0.0591,0.118,0.0295,0.0,0.0296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.7936,0.0,0.059,0.0885,0.0293,0.0,0.0296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.8122812281228123,0.0,0.03130313031303131,0.09350935093509351,0.03130313031303131,0.0,0.03160316031603161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.7305,0.0,0.0449,0.2109,0.0137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.8167,0.0,0.0,0.1524,0.0191,0.0,0.0118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.8805119488051195,0.0188981101889811,0.03469653034696531,0.0,0.0,0.0,0.0658934106589341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.862,0.0,0.0,0.0,0.0,0.0,0.0,0.102,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.8593000000000001,0.0,0.0,0.03560000000000001,0.0,0.0,0.0,0.10510000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.9714,0.0,0.0,0.0,0.0,0.0286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.8982,0.0,0.0,0.0,0.0,0.1018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.7908,0.0,0.0,0.0,0.0,0.2092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.6183,0.0,0.0,0.0,0.0,0.3817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.7564,0.0,0.0,0.2236,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.7291000000000001,0.0,0.0,0.23020000000000002,0.04070000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.7197,0.0,0.0325,0.2014,0.0,0.0464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.8305,0.0,0.0,0.1022,0.0,0.0426,0.0247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.7594,0.0,0.0,0.1956,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.7260726072607261,0.0,0.0,0.2009200920092009,0.0,0.0462046204620462,0.026802680268026804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.7448744874487448,0.0,0.0,0.1987198719871987,0.0107010701070107,0.0457045704570457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.7252000000000001,0.0,0.0,0.20290000000000002,0.025200000000000004,0.046700000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.7143714371437144,0.0,0.0,0.2052205220522052,0.0332033203320332,0.047204720472047206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.8848,0.0548,0.0,0.0604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.8567,0.0826,0.0,0.0607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.8062,0.0008,0.0,0.0,0.0,0.0,0.0247,0.1014,0.0445,0.0224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.9461,0.0,0.0,0.0,0.0,0.0,0.0539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.8924,0.0,0.0,0.0,0.0,0.0,0.1076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.9475,0.0,0.0,0.0,0.0,0.0,0.0525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.9393060693930607,0.0,0.0,0.0,0.0,0.0,0.0526947305269473,0.0,0.0,0.0,0.007999200079992,0.0,0.0,0.0,0.0,0.0,0.0
67,0.9231,0.0,0.0,0.0,0.0,0.0,0.0529,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0
68,0.9066,0.0,0.0,0.0,0.0,0.0,0.0532,0.0,0.0,0.0,0.0402,0.0,0.0,0.0,0.0,0.0,0.0
69,0.9772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0228,0.0,0.0,0.0,0.0,0.0,0.0
70,0.9619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0381,0.0,0.0,0.0,0.0,0.0,0.0
71,0.9463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0537,0.0,0.0,0.0,0.0,0.0,0.0
72,0.6933,0.0,0.176,0.0,0.0,0.0,0.0,0.0992,0.0315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.6882,0.0048,0.1762,0.0,0.0,0.0,0.0,0.0993,0.0315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.6832,0.0096,0.1763,0.0,0.0,0.0,0.0,0.0993,0.0316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.6781678167816781,0.0144014401440144,0.17641764176417643,0.0,0.0,0.0,0.0,0.09940994099409942,0.03160316031603161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.6731,0.0192,0.1766,0.0,0.0,0.0,0.0,0.0995,0.0316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.668,0.0241,0.1767,0.0,0.0,0.0,0.0,0.0996,0.0316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.7998999999999998,0.0,0.018799999999999997,0.15379999999999996,0.009599999999999997,0.0,0.017899999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.9863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0137,0.0,0.0,0.0,0.0,0.0
80,0.9716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0284,0.0,0.0,0.0,0.0,0.0
81,0.9557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0443,0.0,0.0,0.0,0.0,0.0
82,0.9384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0616,0.0,0.0,0.0,0.0,0.0
83,0.8991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1009,0.0,0.0,0.0,0.0,0.0
84,0.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.0,0.0,0.0,0.0,0.0
85,0.6586658665866587,0.0010001000100010003,0.17391739173917392,0.16641664166416642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.9306,0.0694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.9141,0.072,0.0,0.0,0.0,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.9034096590340965,0.07379262073792621,0.0,0.0,0.0,0.022797720227977204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.9152915291529153,0.07930793079307931,0.0,0.0,0.0,0.0054005400540054005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.9049,0.0812,0.0,0.0,0.0,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.8903109689031097,0.0837916208379162,0.0,0.0,0.0,0.025897410258974102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.877,0.094,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.8407840784078408,0.0,0.0,0.0,0.0,0.0,0.034203420342034205,0.0697069706970697,0.028402840284028404,0.0269026902690269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.8150000000000002,0.0,0.0,0.0,0.0,0.0,0.023700000000000006,0.09120000000000002,0.04370000000000001,0.026400000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.8269173082691731,0.0,0.0,0.0,0.0,0.0,0.025197480251974803,0.05369463053694631,0.0662933706629337,0.027897210278972105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.5843,0.0,0.3066,0.0,0.0,0.0,0.0,0.1091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.5769,0.0,0.3027,0.0,0.0,0.0,0.0,0.1089,0.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.5621437856214379,0.0,0.294970502949705,0.0,0.0,0.0,0.0,0.10838916108389161,0.03449655034496551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.5476,0.0,0.2873,0.0,0.0,0.0,0.0,0.1079,0.0572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.5331,0.0,0.2797,0.0,0.0,0.0,0.0,0.1075,0.0797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.76,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0.76,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0.76,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0.906,0.0,0.0286,0.0,0.0,0.0,0.0654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,0.7195,0.0,0.0,0.1853,0.0,0.0952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0.9167,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,0.9167,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0.9167,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,0.9015,0.0,0.0,0.0985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,0.9015,0.0,0.0,0.0985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,0.9015,0.0,0.0,0.0985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,0.8859,0.0,0.0,0.1141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,0.8859,0.0,0.0,0.1141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,0.8859,0.0,0.0,0.1141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,0.8699,0.0,0.0,0.1301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0.8699,0.0,0.0,0.1301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.8699,0.0,0.0,0.1301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,0.9983,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,0.9983,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,0.9983,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0.9974,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0.9394,0.0606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,0.9339000000000001,0.06090000000000001,0.0,0.005200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,0.917,0.0618,0.0,0.0212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,0.9054,0.0624,0.0,0.0322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,0.8876,0.0634,0.0,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,0.8754,0.0641,0.0,0.0605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0.7405,0.0307,0.2068,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,0.7190280971902809,0.051394860513948606,0.2074792520747925,0.0,0.0,0.0,0.0,0.0,0.0,0.022097790220977905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,0.6975,0.0722,0.2082,0.0,0.0,0.0,0.0,0.0,0.0,0.0221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,0.7179282071792821,0.030796920307969204,0.20717928207179281,0.0,0.0,0.0,0.0,0.0,0.0,0.04409559044095591,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,0.6964,0.0515,0.2079,0.0,0.0,0.0,0.0,0.0,0.0,0.0442,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,0.6747,0.0723,0.2086,0.0,0.0,0.0,0.0,0.0,0.0,0.0444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,0.7682768276827683,0.0698069806980698,0.0,0.1619161916191619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,0.7463000000000001,0.07000000000000002,0.0,0.16220000000000004,0.0,0.0,0.0,0.0,0.0,0.021500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,0.7243999999999999,0.07009999999999998,0.0,0.16249999999999998,0.0,0.0,0.0,0.0,0.0,0.04299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,0.7023,0.0702,0.0,0.1628,0.0,0.0,0.0,0.0,0.0,0.0647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,0.6801,0.0704,0.0,0.1631,0.0,0.0,0.0,0.0,0.0,0.0864,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,0.9165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0835,0.0,0.0,0.0,0.0
141,0.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112,0.0,0.0,0.0,0.0
142,0.9387,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0463,0.0,0.0,0.0,0.0
143,0.9334,0.0,0.0,0.0,0.0,0.0,0.0205,0.0,0.0,0.0,0.0,0.0,0.0461,0.0,0.0,0.0,0.0
